ESTU_SNIES_PRGMACADEMICO,GRUPOREFERENCIA
1080,DERECHO
1081,ECONOMÍA
1082,ADMINISTRACIÓN Y AFINES
1083,CONTADURÍA Y AFINES
1084,INGENIERÍA
1085,INGENIERÍA
1086,INGENIERÍA
1097,SALUD
1098,DERECHO
1099,ECONOMÍA
1101,ADMINISTRACIÓN Y AFINES
1102,CONTADURÍA Y AFINES
1103,ARQUITECTURA Y URBANISMO 
1110,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1111,CIENCIAS SOCIALES
1112,DERECHO
1113,ECONOMÍA
1114,ADMINISTRACIÓN Y AFINES
1115,ADMINISTRACIÓN Y AFINES
1116,ADMINISTRACIÓN Y AFINES
1117,CONTADURÍA Y AFINES
1143,BELLAS ARTES Y DISEÑO
1144,BELLAS ARTES Y DISEÑO
1146,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1147,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1148,CIENCIAS SOCIALES
1149,ECONOMÍA
1150,ADMINISTRACIÓN Y AFINES
1151,ADMINISTRACIÓN Y AFINES
1152,ADMINISTRACIÓN Y AFINES
1153,CIENCIAS AGROPECUARIAS 
1155,CONTADURÍA Y AFINES
1156,INGENIERÍA
1158,CIENCIAS NATURALES Y EXACTAS
1166,ARQUITECTURA Y URBANISMO 
1169,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1170,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1172,ADMINISTRACIÓN Y AFINES
1173,ADMINISTRACIÓN Y AFINES
1175,INGENIERÍA
1178,BELLAS ARTES Y DISEÑO
1179,BELLAS ARTES Y DISEÑO
1180,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1192,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1193,CIENCIAS SOCIALES
1195,DERECHO
1196,ADMINISTRACIÓN Y AFINES
1197,HUMANIDADES
1198,HUMANIDADES
1199,HUMANIDADES
1200,INGENIERÍA
1201,INGENIERÍA
1202,INGENIERÍA
1203,INGENIERÍA
1204,INGENIERÍA
1205,ARQUITECTURA Y URBANISMO 
1236,ENFERMERÍA
1237,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1238,PSICOLOGÍA
1239,DERECHO
1240,ADMINISTRACIÓN Y AFINES
1241,INGENIERÍA
1244,ADMINISTRACIÓN Y AFINES
1245,ADMINISTRACIÓN Y AFINES
1246,CONTADURÍA Y AFINES
1247,INGENIERÍA
1248,INGENIERÍA
1249,INGENIERÍA
1250,INGENIERÍA
1251,CIENCIAS NATURALES Y EXACTAS
1267,EDUCACIÓN
1268,ENFERMERÍA
1269,MEDICINA
1270,PSICOLOGÍA
1271,DERECHO
1272,ADMINISTRACIÓN Y AFINES
1273,INGENIERÍA
1274,INGENIERÍA
1275,INGENIERÍA
1276,INGENIERÍA
1277,INGENIERÍA
1293,SALUD
1294,SALUD
1295,MEDICINA
1296,SALUD
1297,DERECHO
1298,ECONOMÍA
1299,ADMINISTRACIÓN Y AFINES
1300,HUMANIDADES
1335,INGENIERÍA
1336,INGENIERÍA
1337,INGENIERÍA
1338,INGENIERÍA
1339,ARQUITECTURA Y URBANISMO 
1340,EDUCACIÓN
1347,ECONOMÍA
1348,CONTADURÍA Y AFINES
1349,INGENIERÍA
1350,ARQUITECTURA Y URBANISMO 
1361,PSICOLOGÍA
1363,INGENIERÍA
1371,EDUCACIÓN
1372,EDUCACIÓN
1380,PSICOLOGÍA
1381,DERECHO
1383,INGENIERÍA
1384,INGENIERÍA
1385,INGENIERÍA
1386,ARQUITECTURA Y URBANISMO 
1394,ENFERMERÍA
1395,CIENCIAS SOCIALES
1396,CONTADURÍA Y AFINES
1399,PSICOLOGÍA
1402,ADMINISTRACIÓN Y AFINES
1403,CONTADURÍA Y AFINES
1409,PSICOLOGÍA
1412,INGENIERÍA
1415,INGENIERÍA
1422,DERECHO
1423,ECONOMÍA
1424,CONTADURÍA Y AFINES
1425,INGENIERÍA
1426,ARQUITECTURA Y URBANISMO 
1430,DERECHO
1431,ECONOMÍA
1432,INGENIERÍA
1433,CIENCIAS AGROPECUARIAS 
1434,CIENCIAS AGROPECUARIAS 
1435,EDUCACIÓN
1439,SALUD
1441,CIENCIAS SOCIALES
1442,ECONOMÍA
1444,CONTADURÍA Y AFINES
1445,HUMANIDADES
1446,INGENIERÍA
1447,INGENIERÍA
1448,INGENIERÍA
1450,INGENIERÍA
1451,ARQUITECTURA Y URBANISMO 
1464,ADMINISTRACIÓN Y AFINES
1466,ARQUITECTURA Y URBANISMO 
1475,DERECHO
1476,ADMINISTRACIÓN Y AFINES
1477,CONTADURÍA Y AFINES
1483,DERECHO
1485,INGENIERÍA
1492,MEDICINA
1493,DERECHO
1494,ADMINISTRACIÓN Y AFINES
1497,MEDICINA
1498,DERECHO
1499,DERECHO
1503,DERECHO
1504,CONTADURÍA Y AFINES
1512,DERECHO
1513,ECONOMÍA
1514,ADMINISTRACIÓN Y AFINES
1516,INGENIERÍA
1527,BELLAS ARTES Y DISEÑO
1529,BELLAS ARTES Y DISEÑO
1531,CIENCIAS SOCIALES
1532,PSICOLOGÍA
1533,DERECHO
1534,CIENCIAS SOCIALES
1535,ECONOMÍA
1536,ADMINISTRACIÓN Y AFINES
1537,HUMANIDADES
1538,HUMANIDADES
1539,INGENIERÍA
1540,INGENIERÍA
1541,INGENIERÍA
1542,INGENIERÍA
1543,INGENIERÍA
1544,ARQUITECTURA Y URBANISMO 
1545,CIENCIAS NATURALES Y EXACTAS
1546,CIENCIAS NATURALES Y EXACTAS
1547,CIENCIAS NATURALES Y EXACTAS
1548,CIENCIAS NATURALES Y EXACTAS
1591,ECONOMÍA
1592,CONTADURÍA Y AFINES
1595,ECONOMÍA
1596,CONTADURÍA Y AFINES
1597,INGENIERÍA
1598,ARQUITECTURA Y URBANISMO 
1605,ADMINISTRACIÓN Y AFINES
1606,CONTADURÍA Y AFINES
1607,INGENIERÍA
1614,ADMINISTRACIÓN Y AFINES
1620,CIENCIAS SOCIALES
1621,ECONOMÍA
1622,ADMINISTRACIÓN Y AFINES
1626,ADMINISTRACIÓN Y AFINES
1627,ADMINISTRACIÓN Y AFINES
1628,ADMINISTRACIÓN Y AFINES
1630,CONTADURÍA Y AFINES
1635,CONTADURÍA Y AFINES
1636,INGENIERÍA
1639,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
1640,DERECHO
1641,ADMINISTRACIÓN Y AFINES
1642,CONTADURÍA Y AFINES
1643,INGENIERÍA
1650,SALUD
1651,ENFERMERÍA
1652,SALUD
1653,SALUD
1654,MEDICINA
1655,SALUD
1656,SALUD
1657,PSICOLOGÍA
1658,CIENCIAS SOCIALES
1667,ADMINISTRACIÓN Y AFINES
1668,INGENIERÍA
1676,CIENCIAS SOCIALES
1687,CIENCIAS AGROPECUARIAS 
1688,ADMINISTRACIÓN Y AFINES
1689,INGENIERÍA
1690,CIENCIAS AGROPECUARIAS 
1691,EDUCACIÓN
1692,EDUCACIÓN
1693,ENFERMERÍA
1694,CIENCIAS AGROPECUARIAS 
1697,ADMINISTRACIÓN Y AFINES
1705,EDUCACIÓN
1706,ENFERMERÍA
1708,CONTADURÍA Y AFINES
1713,ADMINISTRACIÓN Y AFINES
1714,ADMINISTRACIÓN Y AFINES
1718,SALUD
1719,CIENCIAS SOCIALES
1725,SALUD
1730,ADMINISTRACIÓN Y AFINES
1731,INGENIERÍA
1735,ENFERMERÍA
1736,INGENIERÍA
1737,BELLAS ARTES Y DISEÑO
1738,BELLAS ARTES Y DISEÑO
1739,BELLAS ARTES Y DISEÑO
1741,CIENCIAS AGROPECUARIAS 
1742,INGENIERÍA
1743,EDUCACIÓN
1760,EDUCACIÓN
1762,DERECHO
1763,ADMINISTRACIÓN Y AFINES
1764,CONTADURÍA Y AFINES
1765,SALUD
1769,ENFERMERÍA
1770,ADMINISTRACIÓN Y AFINES
1771,DERECHO
1774,CONTADURÍA Y AFINES
1775,INGENIERÍA
1776,INGENIERÍA
1777,INGENIERÍA
1778,ENFERMERÍA
1779,MEDICINA
1780,SALUD
1807,MEDICINA
1813,MEDICINA
1814,SALUD
1829,SALUD
